REF_DATE,GEO,NOC21_5,Title,VALUE
2021,Canada,40040,Commissioned police officers and related occupations in public protection services,2125
2021,Canada,40041,Fire chiefs and senior firefighting officers,2555
2021,Canada,40042,Commissioned officers of the Canadian Armed Forces,18085
2021,Canada,41100,Judges,3030
2021,Canada,41101,Lawyers and Quebec notaries,101540
2021,Canada,41200,University professors and lecturers,73120
2021,Canada,41201,Post-secondary teaching and research assistants,97275
2021,Canada,41210,College and other vocational instructors,98825
2021,Canada,41220,Secondary school teachers,154310
2021,Canada,41221,Elementary school and kindergarten teachers,299895
2021,Canada,41300,Social workers,66260
2021,Canada,41301,Therapists in counselling and related specialized therapies,35770
2021,Canada,41302,Religious leaders,27945
2021,Canada,41310,Police investigators and other investigative occupations,3495
2021,Canada,41311,Probation and parole officers,5215
2021,Canada,41320,Educational counsellors,26760
2021,Canada,41321,Career development practitioners and career counsellors (except education),11765
2021,Canada,41400,"Natural and applied science policy researchers, consultants and program officers",35710
2021,Canada,41401,Economists and economic policy researchers and analysts,23030
2021,Canada,41402,Business development officers and market researchers and analysts,43910
2021,Canada,41403,"Social policy researchers, consultants and program officers",42880
2021,Canada,41404,"Health policy researchers, consultants and program officers",27695
2021,Canada,41405,"Education policy researchers, consultants and program officers",26520
2021,Canada,41406,"Recreation, sports and fitness policy researchers, consultants and program officers",9900
2021,Canada,41407,Program officers unique to government,12890
2021,Canada,41409,Other professional occupations in social science,6760
2021,Canada,42100,Police officers (except commissioned),71965
2021,Canada,42101,Firefighters,32830
2021,Canada,42102,Specialized members of the Canadian Armed Forces,1565
2021,Canada,42200,Paralegals and related occupations,31860
2021,Canada,42201,Social and community service workers,181145
2021,Canada,42202,Early childhood educators and assistants,226460
2021,Canada,42203,Instructors of persons with disabilities,33735
2021,Canada,42204,Religion workers,8190
2021,Canada,43100,Elementary and secondary school teacher assistants,103625
2021,Canada,43109,Other instructors,36050
2021,Canada,43200,Sheriffs and bailiffs,5360
2021,Canada,43201,Correctional service officers,24370
2021,Canada,43202,By-law enforcement and other regulatory officers,10370
2021,Canada,43203,"Border services, customs, and immigration officers",10380
2021,Canada,43204,Operations members of the Canadian Armed Forces,34130
2021,Canada,44100,Home child care providers,55690
2021,Canada,44101,"Home support workers, caregivers and related occupations",52105
2021,Canada,44200,Primary combat members of the Canadian Armed Forces,9100
2021,Canada,45100,"Student monitors, crossing guards and related occupations",26965
2021,Canada,50010,"Library, archive, museum and art gallery managers",4695
2021,Canada,50011,"Managers - publishing, motion pictures, broadcasting and performing arts",8375
2021,Canada,50012,"Recreation, sports and fitness program and service directors",13200
2021,Canada,51100,Librarians,8665
2021,Canada,51101,Conservators and curators,2030
2021,Canada,51102,Archivists,1535
2021,Canada,51110,Editors,14505
2021,Canada,51111,Authors and writers (except technical),24680
2021,Canada,51112,Technical writers,8450
2021,Canada,51113,Journalists,10560
2021,Canada,51114,"Translators, terminologists and interpreters",17750
2021,Canada,51120,"Producers, directors, choreographers and related occupations",34355
2021,Canada,51121,"Conductors, composers and arrangers",3515
2021,Canada,51122,Musicians and singers,31520
2021,Canada,52100,Library and public archive technicians,9535
2021,Canada,52110,Film and video camera operators,5325
2021,Canada,52111,Graphic arts technicians,12725
2021,Canada,52112,Broadcast technicians,1870
2021,Canada,52113,Audio and video recording technicians,26160
2021,Canada,52114,Announcers and other broadcasters,4880
